09:43:10,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:43:20,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:43:30,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:43:40,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:43:50,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:44:00,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:44:10,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:44:20,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:44:30,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:44:40,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:44:50,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:45:00,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:45:10,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:45:20,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:45:30,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:45:40,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:45:50,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:46:00,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:46:10,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:46:20,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:46:30,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:46:40,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:46:50,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:47:00,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:47:10,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:47:20,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:47:30,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:47:40,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:47:50,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:48:00,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:48:10,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:48:20,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:48:30,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:48:40,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:48:50,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:49:00,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:49:10,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:49:20,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:49:30,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:49:40,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:49:50,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:50:00,138272,ILASP,19.9g,19.4g,12476,100.0,2.6
09:50:10,138272,ILASP,19.9g,19.4g,12476,99.9,2.6
09:50:20,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:50:30,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:50:40,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:50:50,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:51:00,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:51:10,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:51:20,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:51:30,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
09:51:40,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:51:50,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:52:00,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:52:10,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:52:20,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:52:30,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:52:40,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:52:50,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:53:00,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:53:10,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:53:20,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
09:53:30,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:53:40,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:53:50,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:54:00,138272,ILASP,22.7g,21.2g,12476,99.7,2.8
09:54:10,138272,ILASP,22.7g,21.2g,12476,99.8,2.8
09:54:20,138272,ILASP,22.7g,21.3g,12476,99.7,2.8
09:54:30,138272,ILASP,22.7g,21.4g,12476,99.7,2.8
09:54:40,138272,ILASP,22.7g,21.4g,12476,99.6,2.8
09:54:50,138272,ILASP,22.7g,21.5g,12476,99.7,2.8
09:55:00,138272,ILASP,22.7g,21.6g,12476,99.8,2.9
09:55:10,138272,ILASP,22.7g,21.6g,12476,99.7,2.9
09:55:20,138272,ILASP,22.7g,21.7g,12476,99.7,2.9
09:55:30,138272,ILASP,22.7g,21.8g,12476,99.6,2.9
09:55:40,138272,ILASP,22.7g,21.8g,12476,99.8,2.9
09:55:50,138272,ILASP,22.7g,21.9g,12476,99.8,2.9
09:56:00,138272,ILASP,22.7g,22.0g,12476,99.7,2.9
